# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
1.24	0.00941096	0.00404434	0.00742988	0.00633762	0.00503379
1.25	0.0094655	0.00409802	0.00775059	0.00662659	0.00520006
1.26	0.00951983	0.0041515	0.00807516	0.00691931	0.00536721
1.27	0.00957394	0.0042048	0.00840336	0.00721553	0.00553514
1.28	0.00962783	0.00425791	0.00873499	0.00751496	0.0057038
1.29	0.00968151	0.00431083	0.00906982	0.00781733	0.00587312
1.3	0.00973498	0.00436357	0.00940765	0.00812238	0.00604304
1.31	0.00978824	0.00441612	0.00974827	0.00842983	0.00621351
1.32	0.00984128	0.00446847	0.0100915	0.00873941	0.00638445
1.33	0.00989411	0.00452064	0.0104371	0.00905086	0.00655583
1.34	0.0099463	0.00457257	0.010785	0.00936394	0.00672769
1.35	0.00999828	0.00462428	0.0111349	0.00967839	0.00689988
1.36	0.01005	0.00467579	0.0114866	0.00999393	0.00707236
1.37	0.0101016	0.00472709	0.0118399	0.0103103	0.00724507
1.38	0.0101529	0.00477817	0.0121948	0.0106272	0.00741798
1.39	0.010204	0.00482905	0.0125508	0.0109445	0.00759104
1.4	0.0102549	0.00487971	0.0129079	0.0112617	0.00776421
1.41	0.0103056	0.00493016	0.0132658	0.0115788	0.00793745
1.42	0.010356	0.00498041	0.0136244	0.0118953	0.00811071
1.43	0.0104063	0.00503044	0.0139834	0.0122112	0.00828396
1.44	0.0104563	0.00508026	0.0143427	0.012526	0.00845717
1.45	0.0105061	0.00512988	0.014702	0.0128396	0.00863031
1.46	0.0105557	0.00517929	0.0150612	0.0131518	0.00880333
1.47	0.0106051	0.00522849	0.01542	0.0134623	0.00897621
1.48	0.0106543	0.00527748	0.0157782	0.0137708	0.00914893
1.49	0.0107032	0.00532626	0.0161356	0.0140772	0.00932144
1.5	0.010752	0.00537484	0.016492	0.0143812	0.00949374
1.51	0.0107008	0.00542344	0.0168471	0.0146825	0.00966566
1.52	0.0106512	0.00547191	0.0172007	0.0149812	0.00983731
1.53	0.0106019	0.00552024	0.0175528	0.0152768	0.0100087
1.54	0.0105528	0.00556844	0.0179031	0.0155694	0.0101798
1.55	0.0105036	0.00561649	0.0182514	0.0158588	0.0103505
1.56	0.0104547	0.0056644	0.0185976	0.0161447	0.0105209
1.57	0.010406	0.00571216	0.0189414	0.0164271	0.010691
1.58	0.0103575	0.00575977	0.0192826	0.0167058	0.0108606
1.59	0.0103091	0.00580724	0.019621	0.0169807	0.0110299
1.6	0.0102609	0.00585455	0.0199566	0.0172517	0.0111988
1.61	0.0102128	0.0059017	0.020289	0.0175186	0.0113673
1.62	0.0101647	0.0059487	0.0206182	0.0177815	0.0115354
1.63	0.0101169	0.00599553	0.020944	0.0180402	0.011703
1.64	0.010069	0.00604219	0.0212662	0.0182946	0.0118702
1.65	0.0100209	0.00608867	0.0215846	0.0185447	0.0120369
1.66	0.00997414	0.00613498	0.0218993	0.0187905	0.0122032
1.67	0.00992723	0.00618111	0.0222099	0.0190319	0.012369
1.68	0.00988043	0.00622705	0.0225164	0.0192689	0.0125343
1.69	0.0098339	0.00627281	0.0228187	0.0195015	0.0126991
1.7	0.00978737	0.00631837	0.0231167	0.0197296	0.0128635
1.71	0.00974125	0.00636374	0.0234102	0.0199533	0.0130273
1.72	0.00969528	0.00640892	0.0236993	0.0201726	0.0131906
1.73	0.00964945	0.0064539	0.0239838	0.0203874	0.0133534
1.74	0.00960366	0.00649869	0.0242636	0.0205979	0.0135157
1.75	0.00955819	0.00654328	0.0245388	0.020804	0.0136774
1.76	0.00951275	0.00658766	0.0248092	0.0210057	0.0138386
1.77	0.00946744	0.00663184	0.0250749	0.0212032	0.0139993
1.78	0.00942237	0.0066758	0.0253357	0.0213964	0.0141594
1.79	0.00937757	0.00671953	0.0255918	0.0215855	0.014319
1.8	0.00933278	0.00676302	0.025843	0.0217704	0.0144781
1.81	0.00928832	0.00680623	0.0260894	0.0219512	0.0146367
1.82	0.009244	0.00684912	0.026331	0.022128	0.0147947
1.83	0.00919987	0.00689163	0.0265678	0.0223008	0.0149522
1.84	0.00915606	0.00693369	0.0267998	0.0224697	0.0151091
1.85	0.00911254	0.00697522	0.0270271	0.0226348	0.0152656
1.86	0.00906911	0.00701608	0.0272497	0.0227962	0.0154215
1.87	0.00902588	0.00705615	0.0274677	0.0229539	0.015577
1.88	0.00898286	0.00709527	0.0276811	0.023108	0.0157319
1.89	0.00894004	0.00713327	0.0278899	0.0232586	0.0158863
1.9	0.00889741	0.00716996	0.0280944	0.0234057	0.0160403
1.91	0.00885497	0.00720515	0.0282944	0.0235496	0.0161937
1.92	0.00881273	0.00723866	0.0284901	0.0236901	0.0163467
1.93	0.00877068	0.00727031	0.0286817	0.0238275	0.0164991
1.94	0.00872881	0.00729992	0.028869	0.0239618	0.0166511
1.95	0.00868728	0.00732738	0.0290524	0.0240931	0.0168026
1.96	0.00864594	0.00735256	0.0292318	0.0242214	0.0169536
1.97	0.00860465	0.00737534	0.0294073	0.0243469	0.0171041
1.98	0.00856356	0.00739568	0.029579	0.0244697	0.0172542
1.99	0.00852267	0.00741354	0.029747	0.0245898	0.0174037
2	0.00848198	0.00742895	0.0299114	0.0247073	0.0175528
2.01	0.00844162	0.00744196	0.0300723	0.0248223	0.0177013
2.02	0.00840134	0.00745258	0.0302297	0.0249348	0.0178494
2.03	0.00836125	0.00746091	0.0303839	0.025045	0.0179969
2.04	0.00832137	0.00746704	0.0305347	0.0251528	0.0181439
2.05	0.00828169	0.00747108	0.0306824	0.0252585	0.0182903
2.06	0.00824221	0.00747313	0.0308269	0.025362	0.0184362
2.07	0.00820293	0.00747331	0.0309684	0.0254634	0.0185816
2.08	0.00816384	0.00747172	0.031107	0.0255627	0.0187263
2.09	0.00812495	0.00746847	0.0312426	0.0256601	0.0188704
2.1	0.00808624	0.00746368	0.0313754	0.0257555	0.0190138
2.11	0.00804773	0.00745742	0.0315054	0.0258491	0.0191566
2.12	0.0080094	0.00744981	0.0316327	0.0259408	0.0192986
2.13	0.00797126	0.00744091	0.0317573	0.0260307	0.0194398
2.14	0.0079333	0.00743082	0.0318792	0.0261188	0.0195802
2.15	0.00789553	0.00741961	0.0319986	0.0262051	0.0197196
2.16	0.00785794	0.00740734	0.0321153	0.0262898	0.019858
2.17	0.00782052	0.00739407	0.0322295	0.0263727	0.0199952
2.18	0.00778329	0.00737987	0.0323411	0.0264539	0.0201312
2.19	0.00774623	0.00736479	0.03245	0.0265333	0.0202659
2.2	0.00770936	0.00734887	0.0325564	0.026611	0.020399
2.21	0.00767265	0.00733217	0.0326601	0.0266869	0.0205304
2.22	0.00763613	0.00731472	0.032761	0.0267609	0.02066
2.23	0.00759978	0.00729657	0.0328591	0.026833	0.0207875
2.24	0.0075636	0.00727775	0.0329543	0.0269031	0.0209127
2.25	0.00752759	0.00725831	0.0330463	0.0269711	0.0210355
2.26	0.00749176	0.00723826	0.0331351	0.0270368	0.0211556
2.27	0.00745609	0.00721765	0.0332204	0.0271001	0.0212727
2.28	0.0074206	0.0071965	0.033302	0.0271608	0.0213867
2.29	0.00738528	0.00717485	0.0333797	0.0272187	0.0214972
2.3	0.00735012	0.00715271	0.0334531	0.0272736	0.0216042
2.31	0.00731513	0.00713012	0.033522	0.0273252	0.0217072
2.32	0.00728031	0.00710709	0.033586	0.0273732	0.0218062
2.33	0.00724565	0.00708366	0.0336447	0.0274174	0.0219009
2.34	0.00721116	0.00705985	0.0336978	0.0274574	0.0219911
2.35	0.00717683	0.00703567	0.0337449	0.0274929	0.0220766
2.36	0.00714267	0.00701115	0.0337855	0.0275236	0.0221573
2.37	0.00710867	0.00698631	0.0338193	0.0275491	0.0222331
2.38	0.00707483	0.00696116	0.0338459	0.027569	0.0223038
2.39	0.00704115	0.00693573	0.0338648	0.027583	0.0223694
2.4	0.00700763	0.00691003	0.0338757	0.0275907	0.0224298
2.41	0.00697427	0.00688409	0.0338782	0.0275917	0.0224849
2.42	0.00694107	0.00685791	0.0338719	0.0275858	0.0225348
2.43	0.00690803	0.00683152	0.0338566	0.0275725	0.0225794
2.44	0.00687514	0.00680493	0.0338319	0.0275516	0.0226189
2.45	0.00684241	0.00677815	0.0337976	0.0275228	0.0226532
2.46	0.00680984	0.0067512	0.0337535	0.0274858	0.0226824
2.47	0.00677742	0.00672409	0.0336995	0.0274404	0.0227066
2.48	0.00674515	0.00669684	0.0336352	0.0273863	0.0227259
2.49	0.00671304	0.00666946	0.0335608	0.0273235	0.0227405
2.5	0.00668108	0.00664196	0.0334761	0.0272518	0.0227504
2.51	0.00664927	0.00661436	0.0333812	0.027171	0.0227558
2.52	0.00661762	0.00658666	0.033276	0.0270811	0.0227569
2.53	0.00658611	0.00655888	0.0331607	0.0269822	0.0227537
2.54	0.00655475	0.00653102	0.0330353	0.0268741	0.0227465
2.55	0.00652355	0.0065031	0.0329	0.0267569	0.0227353
2.56	0.00649249	0.00647513	0.032755	0.0266306	0.0227205
2.57	0.00646158	0.00644712	0.0326003	0.0264955	0.022702
2.58	0.00643082	0.00641907	0.0324363	0.0263515	0.02268
2.59	0.0064002	0.006391	0.0322632	0.0261989	0.0226548
2.6	0.00636973	0.0063629	0.0320812	0.0260377	0.0226264
2.61	0.0063394	0.0063348	0.0318905	0.0258683	0.0225949
2.62	0.00630922	0.0063067	0.0316915	0.0256907	0.0225606
2.63	0.00627918	0.0062786	0.0314844	0.0255052	0.0225235
2.64	0.00624928	0.00625052	0.0312694	0.025312	0.0224838
2.65	0.00621953	0.00622245	0.0310469	0.0251115	0.0224416
2.66	0.00618991	0.00619441	0.0308171	0.0249037	0.0223969
2.67	0.00616044	0.0061664	0.0305802	0.024689	0.02235
2.68	0.00613111	0.00613843	0.0303367	0.0244677	0.0223009
2.69	0.00610191	0.0061105	0.0300867	0.02424	0.0222497
2.7	0.00607285	0.00608261	0.0298304	0.0240061	0.0221965
2.71	0.00604394	0.00605478	0.0295683	0.0237664	0.0221415
2.72	0.00601516	0.006027	0.0293004	0.0235212	0.0220846
2.73	0.00598651	0.00599928	0.0290271	0.0232707	0.022026
2.74	0.00595801	0.00597162	0.0287486	0.0230151	0.0219658
2.75	0.00592963	0.00594404	0.0284651	0.0227548	0.021904
2.76	0.0059014	0.00591653	0.0281769	0.0224901	0.0218407
2.77	0.0058733	0.00588909	0.0278843	0.0222212	0.021776
2.78	0.00584533	0.00586173	0.0275873	0.0219484	0.0217099
2.79	0.00581749	0.00583445	0.0272863	0.021672	0.0216426
2.8	0.00578979	0.00580725	0.0269815	0.0213923	0.0215741
2.81	0.00576222	0.00578014	0.026673	0.0211095	0.0215043
2.82	0.00573478	0.00575312	0.0263612	0.0208239	0.0214335
2.83	0.00570748	0.00572619	0.0260461	0.0205358	0.0213617
2.84	0.0056803	0.00569935	0.025728	0.0202454	0.0212889
2.85	0.00565325	0.00567261	0.0254072	0.0199531	0.0212151
2.86	0.00562633	0.00564597	0.0250837	0.0196591	0.0211404
2.87	0.00559955	0.00561943	0.0247579	0.0193637	0.0210649
2.88	0.00557289	0.00559298	0.0244299	0.0190671	0.0209887
2.89	0.00554636	0.00556664	0.0240999	0.0187696	0.0209117
2.9	0.00551995	0.0055404	0.0237682	0.0184716	0.0208339
2.91	0.00549367	0.00551427	0.0234349	0.0181731	0.0207556
2.92	0.00546752	0.00548824	0.0231002	0.0178746	0.0206766
2.93	0.00544148	0.00546231	0.0227644	0.0175763	0.020597
2.94	0.00541557	0.00543649	0.0224276	0.0172784	0.0205169
2.95	0.00538979	0.00541078	0.0220901	0.0169811	0.0204364
2.96	0.00536413	0.00538518	0.0217521	0.0166847	0.0203553
2.97	0.00533859	0.00535969	0.0214138	0.0163895	0.0202739
2.98	0.00531317	0.0053343	0.0210753	0.0160957	0.020192
2.99	0.00528787	0.00530903	0.020737	0.0158035	0.0201098
3	0.00526269	0.00528386	0.020399	0.0155131	0.0200272
3.01	0.00523764	0.00525881	0.0200616	0.0152248	0.0199444
3.02	0.0052127	0.00523386	0.0197249	0.0149386	0.0198613
3.03	0.00518789	0.00520903	0.0193892	0.014655	0.0197779
3.04	0.00516319	0.00518431	0.0190547	0.0143739	0.0196943
3.05	0.00513862	0.0051597	0.0187216	0.0140956	0.0196106
3.06	0.00511415	0.0051352	0.0183901	0.0138203	0.0195267
3.07	0.00508981	0.00511081	0.0180604	0.0135481	0.0194426
3.08	0.00506558	0.00508654	0.0177328	0.0132791	0.0193585
3.09	0.00504147	0.00506237	0.0174074	0.0130135	0.0192742
3.1	0.00501747	0.00503831	0.0170844	0.0127515	0.0191899
3.11	0.00499358	0.00501437	0.016764	0.0124931	0.0191055
